,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
230,5263.501,FDY45,OUT013
231,372.5831,FDA22,OUT010
232,1775.3237,FDE02,OUT035
233,1944.3082,FDW21,OUT045
234,1176.7977,FDV34,OUT046
235,2042.728,FDS59,OUT049
236,2347.5984,NCW17,OUT017
237,1942.0557,NCK54,OUT046
238,781.321,FDG17,OUT019
239,3998.2646,FDG35,OUT017
240,262.26828,FDD08,OUT010
241,4306.6284,NCO07,OUT017
242,546.1978,FDJ10,OUT010
243,1453.6917,FDW36,OUT017
244,400.99875,FDW21,OUT010
245,2120.5742,FDY19,OUT017
246,536.19446,DRE03,OUT013
247,617.29144,NCC55,OUT049
248,168.29955,FDH52,OUT010
249,6131.32,FDO09,OUT017
250,4439.711,FDU43,OUT045
251,589.6932,FDX09,OUT010
252,221.94664,FDH40,OUT019
253,1657.3984,FDW58,OUT017
254,5376.2666,FDC47,OUT017
255,1391.4148,NCR41,OUT035
256,5655.805,DRG49,OUT035
257,3374.5942,FDC52,OUT027
258,1242.9509,FDY13,OUT046
259,717.4171,FDY35,OUT013
260,3752.8416,FDI35,OUT017
261,2183.7583,NCU18,OUT049
262,2941.934,FDY33,OUT018
263,3909.3982,FDC15,OUT027
264,3704.9138,FDU01,OUT049
265,3377.2014,NCU42,OUT046
266,2246.0225,NCV29,OUT018
267,3699.6372,NCY30,OUT017
268,1923.0756,FDQ46,OUT049
269,3403.6487,FDG58,OUT027
270,4337.469,FDK33,OUT017
271,1345.8925,NCD07,OUT045
272,4112.234,NCX29,OUT027
273,1864.1975,NCT42,OUT013
274,683.1312,DRN59,OUT035
275,1229.5583,FDI44,OUT035
276,1576.2448,FDA45,OUT049
277,702.36945,FDP31,OUT045
278,1893.671,FDY01,OUT046
279,1801.7441,FDT09,OUT018
280,2355.4888,DRH03,OUT027
281,1416.2872,FDA36,OUT018
282,2277.472,NCF31,OUT017
283,2540.8413,FDG14,OUT049
284,6375.6553,FDG28,OUT027
285,4886.9336,FDU14,OUT049
286,337.59293,FDY47,OUT019
287,1543.8191,FDI56,OUT049
288,615.21375,DRD01,OUT013
289,921.7265,FDM22,OUT046
290,774.61694,FDH33,OUT013
291,2369.1833,DRZ24,OUT013
292,1396.0825,NCQ38,OUT046
293,2176.515,FDO16,OUT027
294,3828.35,FDU07,OUT027
295,2834.8887,NCB07,OUT013
296,1681.2872,FDU48,OUT045
297,2685.2913,NCM43,OUT045
298,570.2811,FDR31,OUT010
299,439.48877,DRK49,OUT018
300,415.28357,NCI30,OUT010
301,3339.38,DRD60,OUT017
302,3508.144,NCG19,OUT046
303,1654.8783,FDH12,OUT035
304,1623.539,FDM32,OUT035
305,2585.6804,FDM27,OUT035
306,4240.7134,NCU53,OUT027
307,1494.9077,NCQ18,OUT046
308,2714.2554,FDS10,OUT013
309,4303.584,FDB33,OUT027
310,1587.5386,FDI12,OUT013
311,4306.6943,NCW42,OUT013
312,1974.0829,NCC06,OUT018
313,3145.2607,FDW02,OUT017
314,1573.2832,NCD43,OUT017
315,717.2054,FDM57,OUT018
316,3102.5784,FDA58,OUT017
317,3111.54,FDK56,OUT046
318,3482.1943,FDP52,OUT045
319,1597.9803,FDW20,OUT018
320,1574.9901,FDS52,OUT049
321,1625.9303,NCT29,OUT018
322,3033.3835,NCL54,OUT013
323,2881.1052,FDC05,OUT045
324,3067.2588,FDF34,OUT035
325,3385.0256,FDP03,OUT027
326,61.78403,FDD32,OUT010
327,2576.141,FDZ10,OUT045
328,1008.4132,FDZ40,OUT035
329,493.78366,FDD51,OUT018
330,200.69995,NCY30,OUT019
331,3468.6902,FDP58,OUT017
332,4200.2197,FDV49,OUT017
333,123.817345,FDY24,OUT019
334,1943.5928,NCO55,OUT017
335,1913.9374,FDR13,OUT017
336,1267.7483,FDS51,OUT017
337,1411.0773,FDP26,OUT045
338,3352.423,NCB54,OUT027
339,3598.6804,FDF32,OUT017
340,2506.8152,FDN31,OUT018
341,591.5221,DRM48,OUT017
342,2706.362,FDN20,OUT049
343,3460.072,DRL01,OUT046
344,1504.8417,FDV56,OUT049
345,2753.3586,DRH13,OUT027
346,2371.4075,FDA03,OUT017
347,5557.741,FDF47,OUT027
348,2400.8154,FDX32,OUT046
349,1558.6642,FDX57,OUT049
350,3061.1538,NCA30,OUT045
351,871.0931,FDO49,OUT013
352,202.0223,FDL04,OUT019
353,574.7627,DRM48,OUT035
354,4148.6846,FDR16,OUT013
355,2987.6882,NCC19,OUT018
356,1610.7902,NCE42,OUT045
357,1195.7441,FDY24,OUT017
358,1531.0616,FDH19,OUT049
359,2552.4954,FDJ46,OUT013
360,-132.37558,FDN45,OUT010
361,2088.6846,FDY08,OUT035
362,1508.8317,FDZ37,OUT035
363,823.7285,NCT30,OUT045
364,506.11496,DRY23,OUT018
365,1808.0316,NCZ30,OUT018
366,1643.5862,FDC44,OUT018
367,1711.7751,FDB45,OUT035
368,2134.7556,FDY04,OUT013
369,2952.287,FDM27,OUT046
370,4617.6934,FDZ43,OUT017
371,553.7095,FDT39,OUT019
372,289.23553,NCC06,OUT019
373,4066.9722,FDL15,OUT027
374,5259.373,FDL57,OUT017
375,1509.5692,FDU08,OUT046
376,4204.884,FDK40,OUT017
377,497.5576,FDQ12,OUT010
378,2820.823,FDS48,OUT017
379,3911.6353,FDP09,OUT045
380,1643.4465,FDW21,OUT049
381,3658.9307,FDY25,OUT035
382,1555.998,DRE13,OUT017
383,75.60453,FDV43,OUT019
384,1810.8705,FDD22,OUT045
385,266.44492,FDM46,OUT019
386,733.4817,NCO30,OUT010
387,3284.4202,FDM25,OUT046
388,2193.292,NCN41,OUT049
389,1646.9358,FDU24,OUT045
390,3059.4272,FDZ50,OUT046
391,3250.2664,FDP45,OUT013
392,1850.1381,NCM54,OUT045
393,204.95094,FDW10,OUT019
394,1981.3873,FDP20,OUT017
395,2513.3813,FDK32,OUT046
396,1295.8706,FDN52,OUT049
397,2406.695,FDM58,OUT045
398,2859.196,FDZ46,OUT027
399,1037.1459,NCA18,OUT018
400,2220.0562,FDD35,OUT046
401,830.0708,NCK31,OUT035
402,2768.0376,FDI40,OUT027
403,260.63342,FDT50,OUT019
404,2570.7097,NCT06,OUT046
405,2969.6047,FDT31,OUT035
406,938.12695,FDT45,OUT049
407,3088.2026,FDT13,OUT045
408,1308.3904,FDO50,OUT045
409,232.98143,NCU18,OUT010
410,3193.6555,NCR54,OUT049
411,2724.8125,NCO18,OUT018
412,866.02325,FDU09,OUT045
413,2610.1787,FDT13,OUT018
414,1648.8771,FDE09,OUT046
415,351.4048,NCK53,OUT019
416,3841.221,FDG45,OUT049
417,800.8873,DRH15,OUT035
418,416.93518,FDO21,OUT019
419,5855.434,FDD14,OUT027
420,1722.8876,FDC09,OUT046
421,1300.9758,FDH45,OUT027
422,1312.7078,FDV32,OUT046
423,1917.8281,FDG12,OUT035
424,1963.4907,FDS32,OUT013
425,3160.9915,NCL55,OUT018
426,4233.7754,DRE01,OUT035
427,1275.5676,DRE15,OUT049
428,5083.694,NCL42,OUT045
429,745.6744,FDP31,OUT013
430,1403.8079,FDN33,OUT018
431,3365.8398,FDZ59,OUT046
432,710.98,FDE45,OUT010
433,1673.3882,FDJ07,OUT013
434,2810.5723,FDQ45,OUT018
435,4713.1157,FDM33,OUT027
436,196.47496,FDO15,OUT010
437,1512.8535,FDM46,OUT013
438,3341.9531,FDR03,OUT045
439,2061.4385,FDY49,OUT018
440,1868.4213,FDQ60,OUT045
441,2257.744,FDW10,OUT049
442,762.856,FDO51,OUT049
443,1501.4521,FDJ40,OUT018
444,2830.8303,FDS20,OUT018
445,1958.4922,FDU45,OUT013
446,2718.9502,FDV02,OUT035
447,3907.3357,FDN09,OUT046
448,4928.387,NCM55,OUT027
449,1981.2014,FDN23,OUT018
450,615.0569,FDY31,OUT010
451,659.11383,FDW03,OUT010
452,2332.1501,FDD14,OUT046
453,1875.998,FDV23,OUT017
454,2696.7812,DRI03,OUT045
455,1487.1975,FDN13,OUT035
456,1557.2069,FDF45,OUT027
457,1350.8544,FDU46,OUT035
458,3052.5762,FDB57,OUT049
459,1975.7837,FDV12,OUT049
460,1382.1194,FDQ58,OUT013
461,1486.4529,NCA18,OUT017
462,963.04596,FDH52,OUT049
463,2301.929,FDM24,OUT018
464,4972.2837,NCP43,OUT027
465,-0.82938576,NCO18,OUT019
466,1352.1908,FDM32,OUT017
467,492.25946,NCL07,OUT017
468,4317.6357,FDK03,OUT013
469,1406.1719,FDP59,OUT017
470,3995.103,FDQ24,OUT049
471,1690.6045,FDQ16,OUT018
472,1965.5135,FDU44,OUT013
473,132.50517,FDH28,OUT010
474,82.90045,FDV28,OUT019
475,900.72144,FDM22,OUT045
476,2935.346,FDR56,OUT046
477,3645.572,FDV39,OUT049
478,415.84296,FDU37,OUT019
479,-523.6095,FDQ11,OUT010
480,4005.4739,FDX02,OUT045
481,1291.8995,NCS42,OUT018
482,2813.1606,FDY57,OUT027
483,4555.8486,FDB21,OUT049
484,3747.0437,FDE28,OUT017
485,2265.4924,FDQ55,OUT017
486,4066.7434,FDA48,OUT049
487,2501.7402,FDZ19,OUT045
488,2667.4556,NCC43,OUT045
489,2240.0793,NCV18,OUT046
490,2758.8818,NCA42,OUT018
491,2860.3313,FDY45,OUT046
492,2782.473,NCC30,OUT045
493,1136.2578,FDM57,OUT013
494,304.90442,FDL09,OUT010
495,3296.5981,FDB09,OUT027
496,2062.062,FDT44,OUT035
497,4096.175,NCT06,OUT027
498,4059.367,FDX26,OUT049
499,2614.8083,FDK32,OUT013
500,2393.3083,DRA12,OUT046
501,680.7053,FDO46,OUT010
502,1255.4344,FDE52,OUT013
503,4030.5298,NCH42,OUT045
504,773.9946,FDV08,OUT035
505,2651.8257,FDB47,OUT018
506,423.68393,FDC28,OUT010
507,1834.9973,FDD22,OUT046
508,3110.2268,FDS07,OUT027
509,3452.2998,DRI13,OUT045
510,2590.1824,FDG32,OUT018
511,4484.8057,FDU14,OUT017
512,90.613075,FDD28,OUT019
513,1772.6315,NCP41,OUT017
514,1967.1979,FDS08,OUT049
515,2138.973,FDX47,OUT045
516,170.66106,FDC53,OUT019
517,4575.4546,FDQ19,OUT035
518,2172.283,FDL14,OUT045
519,498.1122,FDM33,OUT019
520,1892.6796,FDA51,OUT045
521,540.7838,FDZ27,OUT018
522,543.4581,FDT04,OUT046
523,2024.928,DRC13,OUT049
524,3942.5579,FDR16,OUT027
525,6106.8184,FDQ03,OUT027
526,2667.9048,FDE38,OUT035
527,1859.5493,DRH23,OUT027
528,292.345,FDT11,OUT019
529,3615.6772,FDD09,OUT035
530,1454.0355,FDR40,OUT045
531,4176.174,FDX07,OUT017
532,1417.9858,FDR07,OUT035
533,2054.9688,FDA51,OUT017
534,305.52283,FDT59,OUT019
535,3421.4717,FDF20,OUT017
536,1764.8291,FDR13,OUT045
537,6592.0806,FDY26,OUT049
538,2235.2166,FDW04,OUT017
539,4695.9795,FDK52,OUT017
540,2939.1257,FDN60,OUT049
541,412.10938,FDM09,OUT019
542,1495.9252,FDP46,OUT049
543,421.65433,FDB50,OUT019
544,2863.919,NCQ29,OUT049
545,7611.1606,FDP16,OUT027
546,2094.8228,FDX33,OUT018
547,252.81422,FDP07,OUT010
548,4112.5034,FDN22,OUT046
549,4003.5903,FDF39,OUT049
550,983.42206,FDS21,OUT017
551,1639.0167,NCM42,OUT013
552,349.97534,FDK50,OUT019
553,3611.1533,DRF13,OUT027
554,2000.548,FDH35,OUT018
555,1070.4619,FDP60,OUT018
556,3082.7979,DRJ49,OUT027
557,291.61008,NCT42,OUT019
558,2780.904,FDE38,OUT049
559,3237.4373,FDI04,OUT049
560,2686.9685,NCH54,OUT045
561,883.58044,FDT56,OUT049
562,2537.3606,DRD15,OUT018
563,2287.2898,FDV58,OUT013
564,4204.459,FDP21,OUT049
565,3658.6433,FDH05,OUT013
566,4345.7495,FDR10,OUT027
567,2495.4587,NCP06,OUT045
568,1889.5966,FDF33,OUT049
569,3007.0947,DRK37,OUT013
570,1155.9619,DRH49,OUT045
571,2368.4236,FDT58,OUT013
572,1836.2799,FDD41,OUT018
573,1515.8002,FDP40,OUT018
574,2686.9768,FDM51,OUT027
575,138.49812,FDO45,OUT010
576,204.15009,FDW33,OUT010
577,852.9915,FDY24,OUT045
578,482.77603,FDB10,OUT010
579,2110.2139,FDM40,OUT035
580,3037.6306,NCI06,OUT017
581,248.36807,FDW12,OUT019
582,4151.0894,FDX48,OUT027
583,2480.6204,NCW05,OUT027
584,1695.3796,FDX27,OUT017
585,3337.539,DRM37,OUT045
586,2763.2798,FDA38,OUT045
587,870.2339,FDR36,OUT046
588,3308.345,FDZ45,OUT046
589,2858.3801,FDG05,OUT017
590,5688.8105,FDK28,OUT013
591,1283.2511,FDV47,OUT045
592,1907.1808,FDN21,OUT045
593,3343.5964,FDP20,OUT027
594,3402.0928,FDI35,OUT045
595,869.06146,DRY23,OUT013
596,2390.83,FDA56,OUT017
597,1823.9415,FDB09,OUT013
598,3072.9895,NCO26,OUT027
599,2440.1995,FDQ49,OUT018
600,3349.205,FDI52,OUT027
601,2993.9878,FDZ44,OUT027
602,2573.394,FDZ09,OUT018
603,1914.043,FDY03,OUT049
604,2277.992,NCG42,OUT017
605,5594.6978,DRI13,OUT027
606,2105.6738,FDQ32,OUT013
607,1477.4904,FDW16,OUT035
608,564.8605,FDU27,OUT046
609,548.2938,FDR28,OUT010
610,371.3649,FDQ49,OUT010
611,2279.3474,FDS37,OUT046
612,2470.7437,FDW26,OUT018
613,3631.1646,FDX12,OUT018
614,2147.9937,NCP06,OUT013
615,526.95575,FDW45,OUT010
616,1414.5519,NCN30,OUT049
617,979.808,FDN24,OUT049
618,1008.3797,NCL41,OUT027
619,260.4834,FDR02,OUT019
620,791.7066,FDD09,OUT010
621,244.44536,FDS33,OUT010
622,1950.7289,FDU22,OUT045
623,2472.2524,FDI53,OUT013
624,2410.7559,DRH01,OUT049
625,2625.3325,FDX32,OUT013
626,419.24118,NCP30,OUT018
627,2868.2017,FDB60,OUT045
628,1331.7593,FDB14,OUT049
629,1000.4688,NCP02,OUT035
630,1747.8253,FDJ10,OUT017
631,1821.8578,FDG34,OUT046
632,1573.5925,NCB18,OUT017
633,1253.1307,FDM16,OUT049
634,857.1268,FDW25,OUT018
635,184.09914,FDB35,OUT010
636,2374.4436,DRN11,OUT013
637,495.44904,FDF41,OUT019
638,1154.183,FDH16,OUT045
639,3636.3,NCQ50,OUT018
640,673.2359,DRH23,OUT018
641,1803.4717,DRJ37,OUT013
642,4260.559,DRJ24,OUT027
643,2572.547,FDY16,OUT035
644,2355.6196,FDQ27,OUT045
645,2189.8845,FDZ33,OUT045
646,1977.7916,FDF29,OUT045
647,2308.1094,FDA08,OUT049
648,1139.7668,FDG31,OUT046
649,466.75726,FDE34,OUT019
650,1810.5326,NCR30,OUT027
651,3665.7988,FDV33,OUT035
652,1691.4323,DRZ24,OUT018
653,2932.8396,NCL54,OUT035
654,2633.5698,FDR12,OUT049
655,3649.1858,NCC54,OUT046
656,925.5784,DRN59,OUT013
657,317.96484,FDX50,OUT019
658,4113.0557,FDV31,OUT027
659,5107.511,NCA29,OUT027
660,3281.8823,FDW60,OUT049
661,3396.9167,FDX08,OUT017
662,3426.147,DRD49,OUT013
663,3946.0234,FDD33,OUT046
664,693.3135,FDW35,OUT013
665,1677.7108,FDJ36,OUT017
666,2790.3552,FDV51,OUT035
667,1326.1396,FDW36,OUT046
668,2450.1387,FDH35,OUT046
669,3176.4343,NCS30,OUT027
670,489.78696,FDN49,OUT017
671,2708.5837,FDL08,OUT018
672,4126.1377,FDI09,OUT013
673,1867.129,FDP19,OUT018
674,94.00474,FDU21,OUT010
675,1548.5844,NCP41,OUT045
676,2117.3792,FDY10,OUT013
677,492.47925,FDP12,OUT018
678,1931.9849,NCN26,OUT049
679,2600.6738,FDK44,OUT013
680,1432.8229,FDC28,OUT049
681,6499.9375,FDJ41,OUT027
682,1911.8639,NCT29,OUT035
683,150.55885,NCH42,OUT019
684,3194.18,FDU60,OUT018
685,3464.778,FDS02,OUT045
686,1870.2769,FDC51,OUT046
687,3247.5884,FDU03,OUT013
688,3571.0894,FDX39,OUT045
689,66.07395,NCY05,OUT010
690,6184.6206,NCL06,OUT027
691,1667.3699,FDD32,OUT035
692,1990.9417,NCN41,OUT045
693,2455.9639,NCX53,OUT049
694,344.22382,FDU57,OUT019
695,1832.1072,FDQ23,OUT046
696,5517.5376,FDQ52,OUT045
697,570.2613,FDC14,OUT045
698,2784.2507,FDY09,OUT035
699,3036.4556,FDQ28,OUT045
700,5610.8247,FDV25,OUT046
701,2038.8309,FDJ07,OUT035
702,1671.5336,DRB25,OUT049
703,454.95944,FDK52,OUT019
704,1621.6824,FDY52,OUT027
705,3017.0898,FDB28,OUT046
706,604.0872,FDT36,OUT035
707,5128.984,FDV25,OUT017
708,3462.8467,NCN07,OUT027
709,3620.3486,FDC57,OUT017
710,2675.4788,FDQ03,OUT018
711,3210.3528,FDU23,OUT017
712,3869.0105,NCX41,OUT035
713,816.9772,NCD06,OUT035
714,1541.8489,FDW08,OUT045
715,2713.5168,NCU29,OUT017
716,2321.727,NCE06,OUT013
717,188.03162,FDV52,OUT010
718,2937.4158,FDB02,OUT017
719,557.2564,NCR18,OUT045
720,1501.7555,FDK16,OUT049
721,136.86769,NCQ29,OUT010
722,155.50615,FDZ01,OUT019
723,2193.8477,FDW27,OUT035
724,2650.8582,FDD17,OUT018
725,2240.697,FDW39,OUT013
726,991.59436,DRH59,OUT045
727,1432.1503,FDS52,OUT013
728,5073.4375,FDU40,OUT027
729,2921.6875,NCF54,OUT013
730,1470.7417,FDH46,OUT045
731,1900.2577,NCP14,OUT049
732,3559.0117,FDH50,OUT049
733,5.0110245,DRF15,OUT010
734,2225.8218,FDV27,OUT027
735,2163.0085,NCJ06,OUT049
736,3644.6465,FDN02,OUT018
737,742.3485,FDQ51,OUT049
738,4662.7637,FDQ07,OUT017
739,2015.8136,FDS45,OUT049
740,1848.4073,NCJ06,OUT045
741,2080.5237,FDD36,OUT035
742,3682.9216,FDY25,OUT045
743,2162.4944,FDU52,OUT046
744,4099.0894,DRK47,OUT017
745,2138.9382,NCL30,OUT017
746,3486.506,FDN22,OUT035
747,3125.845,NCF30,OUT027
748,5561.338,FDK03,OUT035
749,764.2369,FDT45,OUT017
750,6179.839,NCC54,OUT027
751,3104.5593,FDP08,OUT018
752,2738.7346,FDU44,OUT046
753,1005.9103,DRG39,OUT035
754,1985.7957,FDU32,OUT049
755,2842.1628,FDY27,OUT049
756,2177.768,NCP54,OUT013
757,2027.0123,NCZ41,OUT049
758,2153.5942,DRL49,OUT013
759,1299.7368,FDI05,OUT018
760,4400.8813,FDY56,OUT045
761,1777.1414,DRC13,OUT013
762,2659.701,NCV29,OUT017
763,1522.9207,FDR24,OUT049
764,2769.3037,FDZ34,OUT018
765,2097.9685,FDP37,OUT035
766,5031.6245,FDX08,OUT027
767,1551.8394,FDS57,OUT045
768,1814.2844,NCG18,OUT049
769,2859.3867,FDK25,OUT018
770,1238.5637,FDH53,OUT049
771,3395.2747,DRI59,OUT018
772,2216.895,FDA52,OUT046
773,-58.176884,FDT20,OUT010
774,461.33768,FDE36,OUT019
775,3753.411,FDI24,OUT017
776,2806.673,FDB28,OUT018
777,2986.603,FDV11,OUT017
778,2103.5164,FDP01,OUT046
779,3590.2754,FDD34,OUT027
780,1183.4156,FDJ50,OUT027
781,1739.1511,FDZ44,OUT013
782,1295.1085,DRO59,OUT035
783,615.19543,DRB48,OUT045
784,2705.194,FDR21,OUT018
785,765.9312,NCE42,OUT010
